[21/May/2017 10:01:45] ERROR [django.security.DisallowedHost:216] Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
[21/May/2017 10:01:45] ERROR [django.security.DisallowedHost:216] Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
[21/May/2017 10:01:59] DEBUG [django.db.backends:89] (0.002) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "myproject_category"."id", "myproject_category"."category_id", "myproject_category"."title", "myproject_category"."slug", "myproject_category"."default_id", "myproject_category"."active", "myproject_category"."timestamp" FROM "myproject_category" WHERE "myproject_category"."category_id" = 6 ORDER BY "myproject_category"."id" ASC; args=(6,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 50; args=(50,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 51; args=(51,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 52; args=(52,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 53; args=(53,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 54; args=(54,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 55; args=(55,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 56; args=(56,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 57; args=(57,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 58; args=(58,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "myproject_category"."id", "myproject_category"."category_id", "myproject_category"."title", "myproject_category"."slug", "myproject_category"."default_id", "myproject_category"."active", "myproject_category"."timestamp" FROM "myproject_category" WHERE "myproject_category"."category_id" = 7 ORDER BY "myproject_category"."id" ASC; args=(7,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 59; args=(59,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 60; args=(60,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 61; args=(61,)
